08-06 11:48:32: Training starting...
08-06 11:48:34: New best reward -2525.0 (-100.0%) at episode 0, saving model...
08-06 11:48:34: New worst reward -2525.0 (-100.0%) at episode 0
08-06 11:48:35: New best reward -716.3 (-71.6%) at episode 7, saving model...
08-06 11:48:38: New best reward -647.9 (-9.5%) at episode 22, saving model...
08-06 11:48:39: New best reward -19.7 (-97.0%) at episode 31, saving model...
08-06 11:53:10: New best reward -16.5 (-16.2%) at episode 1421, saving model...
08-06 11:53:29: New best reward -14.5 (-12.2%) at episode 1510, saving model...
08-06 11:53:54: New best reward 0.7 (-105.0%) at episode 1638, saving model...
08-06 11:53:59: New best reward 1.3 (+83.3%) at episode 1680, saving model...
08-06 11:54:03: New best reward 7.0 (+427.3%) at episode 1706, saving model...
08-06 12:01:13: New best reward 7.3 (+4.9%) at episode 5366, saving model...
